HOME	INICIO	首页	START	ГЛАВНАЯ
ENTER Z MARKET →	ENTRAR AL MERCADO Z →	进入 Z 市场 →	Z-MARKT ÖFFNEN →	ОТКРЫТЬ Z МАРКЕТ →
ENTER THE Z MARKET →	ENTRAR AL MERCADO Z →	进入 Z 市场 →	Z-MARKT ÖFFNEN →	ОТКРЫТЬ Z МАРКЕТ →
LATEST VIDEO	ÚLTIMO VIDEO	最新视频	NEUESTES VIDEO	НОВОЕ ВИДЕО
WATCH ON YOUTUBE →	VER EN YOUTUBE →	在 YOUTUBE 观看 →	AUF YOUTUBE ANSEHEN →	СМОТРЕТЬ НА YOUTUBE →
CONNECT WITH ME	CONECTA CONMIGO	关注我	BLEIB IN KONTAKT	МОИ СОЦСЕТИ
JOIN THE DISCORD COMMUNITY	ÚNETE A LA COMUNIDAD DE DISCORD	加入 DISCORD 社区	DISCORD-COMMUNITY BEITRETEN	ПРИСОЕДИНИТЬСЯ К DISCORD
Hang out. Stream updates. Join the chaos.	Pasa el rato. Novedades del stream. Únete al caos.	一起聊天，获取直播动态，加入欢乐。	Gemeinsam abhängen. Stream-News. Sei dabei.	Общайся, следи за эфирами и присоединяйся к веселью.
TOTAL VIEWS	VISTAS TOTALES	总播放量	AUFRUFE INSGESAMT	ВСЕГО ПРОСМОТРОВ
VIDEOS	VIDEOS	视频	VIDEOS	ВИДЕО
VISIT ALL 50 U.S. STATES	VISITAR LOS 50 ESTADOS DE EE. UU.	游遍美国全部 50 个州	ALLE 50 US-BUNDESSTAATEN BESUCHEN	ПОСЕТИТЬ ВСЕ 50 ШТАТОВ США
BY THE END OF 2027	ANTES DE QUE TERMINE 2027	截至 2027 年底	BIS ENDE 2027	ДО КОНЦА 2027 ГОДА
LIVE	EN VIVO	直播	LIVE	В ЭФИРЕ
ALMOST EVERY DAY	CASI TODOS LOS DÍAS	几乎每天	FAST JEDEN TAG	ПОЧТИ КАЖДЫЙ ДЕНЬ
Start here	Empieza aquí	从这里开始	Hier starten	Начни здесь
Rewards shop	Tienda de recompensas	奖励商店	Belohnungsshop	Магазин наград
Arcade	Arcade	游戏厅	Arcade	Аркада
Giveaways	Sorteos	抽奖	Verlosungen	Розыгрыши
Leaderboard	Clasificación	排行榜	Rangliste	Рейтинг
Live activity	Actividad en vivo	实时动态	Live-Aktivität	Лента событий
My points & history	Mis puntos e historial	我的积分与记录	Meine Punkte & Verlauf	Мои баллы и история
How it works	Cómo funciona	玩法说明	So funktioniert’s	Как это работает
How It Works	Cómo funciona	玩法说明	So funktioniert’s	Как это работает
Owner controls	Controles del creador	所有者设置	Inhaber-Einstellungen	Настройки владельца
Explore Z Market	Explora el Mercado Z	探索 Z 市场	Z-Markt entdecken	Исследуй Z Маркет
EXPLORE	EXPLORAR	探索	ENTDECKEN	ОБЗОР
COMMUNITY	COMUNIDAD	社区	COMMUNITY	СООБЩЕСТВО
YOUR ACCOUNT	TU CUENTA	你的账户	DEIN KONTO	ТВОЙ АККАУНТ
TOP PLAYERS	MEJORES JUGADORES	顶尖玩家	TOP-SPIELER	ЛУЧШИЕ ИГРОКИ
CURRENT ZS · THE ONES TO CATCH	ZS ACTUALES · LOS RIVALES A BATIR	当前 ZS · 追赶榜首	AKTUELLE ZS · DIE SPITZENREITER	ТЕКУЩИЕ ZS · ЛИДЕРЫ
View Full Leaderboard ↗	Ver clasificación completa ↗	查看完整排行榜 ↗	Gesamte Rangliste ↗	Полный рейтинг ↗
EARN YOUR PLACE	GÁNATE TU PUESTO	赢得你的名次	ERKÄMPFE DEINEN PLATZ	ЗАСЛУЖИ СВОЁ МЕСТО
THE LEADERBOARD	LA CLASIFICACIÓN	排行榜	DIE RANGLISTE	РЕЙТИНГ
Current Zs	Zs actuales	当前 Zs	Aktuelle Zs	Текущие Zs
Lifetime Earned	Total ganado	累计获得	Insgesamt verdient	Заработано за всё время
Who has the most Zs available right now. Zs locked in challenges are excluded.	Quién tiene más Zs disponibles ahora. No se cuentan los Zs reservados en desafíos.	按当前可用 Zs 排名，不包含挑战中锁定的 Zs。	Wer gerade die meisten verfügbaren Zs hat. In Herausforderungen gebundene Zs zählen nicht.	У кого сейчас больше доступных Zs. Ставки в открытых дуэлях не учитываются.
All Zs earned, ever. Arcade profits count; returned stakes do not.	Todos los Zs ganados. Se cuentan las ganancias del Arcade, no las apuestas devueltas.	历史累计获得的 Zs，包括游戏净收益，不包含返还的本金。	Alle jemals verdienten Zs. Arcade-Gewinne zählen, zurückgegebene Einsätze nicht.	Все заработанные Zs. Прибыль в Аркаде учитывается, возвращённые ставки — нет.
Loading rankings…	Cargando clasificación…	正在加载排名…	Rangliste wird geladen…	Загрузка рейтинга…
Load more players ↓	Cargar más jugadores ↓	加载更多玩家 ↓	Weitere Spieler laden ↓	Показать ещё игроков ↓
The first spot is waiting. Win a question in chat to get started.	El primer puesto te espera. Gana una trivia en el chat para empezar.	榜首虚位以待。在聊天中答对问题即可开始。	Der erste Platz wartet. Gewinne eine Quizfrage im Chat.	Первое место ждёт. Начни с победы в викторине в чате.
EARN · PLAY · REDEEM	GANA · JUEGA · CANJEA	赚取 · 游戏 · 兑换	VERDIENEN · SPIELEN · EINLÖSEN	ЗАРАБАТЫВАЙ · ИГРАЙ · ОБМЕНИВАЙ
Your points.	Tus puntos.	你的积分。	Deine Punkte.	Твои баллы.
Your kind of chaos.	Tu estilo de caos.	你的欢乐天地。	Deine Art von Chaos.	Твой собственный хаос.
Win Z Points in live trivia. Spend them on stream interactions, or play in the Arcade to risk and win more.	Gana puntos Z en trivias en vivo. Úsalos para interacciones del stream o arriesga y gana más en el Arcade.	通过直播答题赢取 Z 积分，用于直播互动，或在游戏厅冒险赢取更多。	Gewinne Z-Punkte im Live-Quiz. Nutze sie für Stream-Interaktionen oder riskiere sie in der Arcade, um mehr zu gewinnen.	Выигрывай Z-баллы в викторинах. Трать их на взаимодействия со стримом или рискуй в Аркаде, чтобы выиграть больше.
How Z Points work →	Cómo funcionan los puntos Z →	Z 积分玩法 →	So funktionieren Z-Punkte →	Как работают Z-баллы →
YOUR Z POINTS	TUS PUNTOS Z	你的 Z 积分	DEINE Z-PUNKTE	ТВОИ Z-БАЛЛЫ
Rank	Puesto	排名	Rang	Место
Unranked	Sin clasificar	暂无排名	Ohne Rang	Без рейтинга
In challenges	En desafíos	挑战中	In Herausforderungen	В дуэлях
Open Arcade →	Abrir Arcade →	进入游戏厅 →	Arcade öffnen →	Открыть Аркаду →
Log in to view your Z Points	Inicia sesión para ver tus puntos Z	登录以查看你的 Z 积分	Anmelden, um deine Z-Punkte zu sehen	Войди, чтобы увидеть свои Z-баллы
Use the same Kick account you use in Zeek’s chat.	Usa la misma cuenta de Kick que usas en el chat de Zeek.	请使用你在 Zeek 聊天中使用的 Kick 账户。	Nutze dasselbe Kick-Konto wie in Zeeks Chat.	Используй тот же аккаунт Kick, что и в чате Zeek.
Log in with Kick ↗	Iniciar sesión con Kick ↗	使用 Kick 登录 ↗	Mit Kick anmelden ↗	Войти через Kick ↗
Connect with Kick ↗	Conectar con Kick ↗	连接 Kick ↗	Mit Kick verbinden ↗	Подключить Kick ↗
Find a stream reward	Encuentra una recompensa	选择直播奖励	Stream-Belohnung finden	Найди награду для стрима
Use your Zs for interactions and forfeits.	Usa tus Zs para interacciones y retos.	使用 Zs 兑换互动与挑战。	Nutze deine Zs für Interaktionen und Aufgaben.	Используй Zs для взаимодействий и заданий.
Browse rewards	Ver recompensas	浏览奖励	Belohnungen ansehen	Смотреть награды
Pick your next game	Elige tu próximo juego	选择下一款游戏	Wähle dein nächstes Spiel	Выбери следующую игру
Single-player games and player challenges.	Juegos individuales y desafíos entre jugadores.	单人游戏和玩家对战。	Einzelspiele und Spielerduelle.	Одиночные игры и дуэли игроков.
Explore Arcade	Explorar Arcade	探索游戏厅	Arcade entdecken	Исследуй Аркаду
Earn your first Zs	Gana tus primeros Zs	赢取你的第一笔 Zs	Verdiene deine ersten Zs	Заработай первые Zs
Answer trivia in Zeek’s Kick chat.	Responde trivias en el chat de Kick de Zeek.	在 Zeek 的 Kick 聊天中回答问题。	Beantworte Quizfragen in Zeeks Kick-Chat.	Отвечай на вопросы в Kick-чате Zeek.
Learn how	Aprende cómo	了解玩法	Mehr erfahren	Узнай как
THE COMMUNITY IN MOTION	LA COMUNIDAD EN ACCIÓN	社区正在行动	DIE COMMUNITY IN AKTION	ЖИЗНЬ СООБЩЕСТВА
THE LIVE FEED	ACTIVIDAD EN VIVO	实时动态	DER LIVE-FEED	ЛЕНТА СОБЫТИЙ
Updates every 15 seconds	Se actualiza cada 15 segundos	每 15 秒更新	Aktualisierung alle 15 Sekunden	Обновление каждые 15 секунд
All	Todos	全部	Alle	Все
Games	Juegos	游戏	Spiele	Игры
Trivia	Trivia	答题	Quiz	Викторина
Redemptions	Canjes	兑换	Einlösungen	Обмены
View All Activity →	Ver toda la actividad →	查看全部动态 →	Alle Aktivitäten ansehen →	Все события →
Put your Zs to work.	Pon tus Zs en acción.	让你的 Zs 派上用场。	Setze deine Zs ein.	Пусти свои Zs в дело.
Unlock a stream interaction. Zeek will handle the rest.	Desbloquea una interacción del stream. Zeek se encarga del resto.	解锁直播互动，剩下的交给 Zeek。	Schalte eine Stream-Interaktion frei. Zeek kümmert sich um den Rest.	Открой взаимодействие со стримом. Остальное сделает Zeek.
STREAM REWARD	RECOMPENSA DEL STREAM	直播奖励	STREAM-BELOHNUNG	НАГРАДА СТРИМА
Type	Escribe	输入	Tippe	Введи
in chat to buy	 en el chat para comprar	即可在聊天中购买	im Chat zum Kaufen	в чате для покупки
Redeem →	Canjear →	兑换 →	Einlösen →	Обменять →
Connect to redeem	Conecta para canjear	连接账户以兑换	Zum Einlösen anmelden	Войди для обмена
Sold out	Agotado	已售罄	Ausverkauft	Нет в наличии
Keep stacking Zs	Sigue ganando Zs	继续赚取 Zs	Sammle weiter Zs	Копи ещё Zs
Edit reward	Editar recompensa	编辑奖励	Belohnung bearbeiten	Изменить награду
Confirm redemption	Confirmar canje	确认兑换	Einlösung bestätigen	Подтвердить обмен
Cancel	Cancelar	取消	Abbrechen	Отмена
Single Player	Un jugador	单人游戏	Einzelspieler	Одиночная игра
Head-to-Head	Cara a cara	玩家对战	Spielerduell	Дуэли
Open Challenges	Desafíos abiertos	公开挑战	Offene Herausforderungen	Открытые дуэли
Play	Jugar	开始	Spielen	Играть
Drop	Soltar	落球	Fallen lassen	Бросить
Create Challenge	Crear desafío	创建挑战	Duell erstellen	Создать дуэль
Cash out	Retirar	收取收益	Gewinn sichern	Забрать выигрыш
Higher	Más alta	更高	Höher	Выше
Lower	Más baja	更低	Niedriger	Ниже
Hit	Pedir carta	要牌	Karte ziehen	Ещё карту
Stand	Plantarse	停牌	Halten	Хватит
Won	Ganado	获胜	Gewonnen	Победа
Lost	Perdido	失败	Verloren	Поражение
World	Mundo	世界	Welt	Мир
USA	EE. UU.	美国	USA	США
COUNTRIES VISITED	PAÍSES VISITADOS	已访问国家	BESUCHTE LÄNDER	ПОСЕЩЕНО СТРАН
STATES VISITED	ESTADOS VISITADOS	已访问州	BESUCHTE STAATEN	ПОСЕЩЕНО ШТАТОВ
Visited Area	Zona visitada	已访问地区	Besuchte Region	Посещено
Going Soon	Próximamente	即将前往	Demnächst	Скоро
Popular	Populares	热门	Beliebt	Популярное
Watch video ↗	Ver video ↗	观看视频 ↗	Video ansehen ↗	Смотреть видео ↗
JOIN SERVER	ENTRAR AL SERVIDOR	加入服务器	SERVER BEITRETEN	ПРИСОЕДИНИТЬСЯ
JAVA EDITION	EDICIÓN JAVA	JAVA 版	JAVA EDITION	JAVA EDITION
BEDROCK EDITION	EDICIÓN BEDROCK	BEDROCK 版	BEDROCK EDITION	BEDROCK EDITION
HOW TO JOIN	CÓMO ENTRAR	如何加入	SO TRITTST DU BEI	КАК ПРИСОЕДИНИТЬСЯ
SERVER INFO	INFO DEL SERVIDOR	服务器信息	SERVER-INFOS	О СЕРВЕРЕ
BACK TO ZEEKFUSION.COM	VOLVER A ZEEKFUSION.COM	返回 ZEEKFUSION.COM	ZURÜCK ZU ZEEKFUSION.COM	НАЗАД НА ZEEKFUSION.COM
Back	Volver	返回	Zurück	Назад
COPY IP	COPIAR IP	复制 IP	IP KOPIEREN	КОПИРОВАТЬ IP
Join Multiplayer	Entrar al multijugador	加入多人游戏	Mehrspieler beitreten	Сетевая игра
How to Join	Cómo entrar	如何加入	So trittst du bei	Как присоединиться
Server Info	Info del servidor	服务器信息	Server-Infos	О сервере
Open Minecraft: Java Edition.	Abre Minecraft: Java Edition.	打开 Minecraft: Java Edition。	Öffne Minecraft: Java Edition.	Открой Minecraft: Java Edition.
Select Multiplayer, then Add Server.	Selecciona Multijugador y Añadir servidor.	选择多人游戏，然后添加服务器。	Wähle Mehrspieler, dann Server hinzufügen.	Выбери «Сетевая игра», затем «Добавить сервер».
Name it ZeekFusion. Paste the Java IP into Server Address.	Ponle ZeekFusion. Pega la IP de Java en Dirección del servidor.	命名为 ZeekFusion，将 Java IP 粘贴到服务器地址中。	Nenne ihn ZeekFusion. Füge die Java-IP unter Serveradresse ein.	Назови его ZeekFusion. Вставь Java IP в адрес сервера.
Click Done, select ZeekFusion, then Join Server.	Pulsa Listo, elige ZeekFusion y entra al servidor.	点击完成，选择 ZeekFusion，然后加入服务器。	Klicke auf Fertig, wähle ZeekFusion und tritt dem Server bei.	Нажми «Готово», выбери ZeekFusion и подключись.
Open Minecraft: Bedrock Edition.	Abre Minecraft: Bedrock Edition.	打开 Minecraft: Bedrock Edition。	Öffne Minecraft: Bedrock Edition.	Открой Minecraft: Bedrock Edition.
Select Play, then Servers and Add Server.	Selecciona Jugar, Servidores y Añadir servidor.	选择游戏、服务器，然后添加服务器。	Wähle Spielen, dann Server und Server hinzufügen.	Выбери «Играть», «Серверы», затем «Добавить сервер».
Name it ZeekFusion. Enter the Bedrock IP and port separately.	Ponle ZeekFusion. Introduce la IP de Bedrock y el puerto por separado.	命名为 ZeekFusion，分别输入 Bedrock IP 和端口。	Nenne ihn ZeekFusion. Gib Bedrock-IP und Port getrennt ein.	Назови его ZeekFusion. Введи Bedrock IP и порт отдельно.
Save the server, then select Join Server.	Guarda el servidor y selecciona Entrar al servidor.	保存服务器，然后选择加入服务器。	Speichere den Server und wähle Server beitreten.	Сохрани сервер и подключись к нему.
1. Earn in chat	1. Gana en el chat	1. 聊天赚积分	1. Im Chat verdienen	1. Зарабатывай в чате
2. Find your reward	2. Elige tu recompensa	2. 选择奖励	2. Belohnung finden	2. Выбери награду
3. Make the stream yours	3. Dale tu toque al stream	3. 参与直播互动	3. Den Stream mitgestalten	3. Влияй на стрим
available balance	 saldo disponible	可用余额	verfügbares Guthaben	доступный баланс
BotRix conversions	Conversiones de BotRix	BotRix 兑换	BotRix-Umwandlungen	Обмен BotRix
BotRix points	Puntos BotRix	BotRix 积分	BotRix-Punkte	Баллы BotRix
BotRix tickets	Solicitudes de BotRix	BotRix 申请	BotRix-Anträge	Заявки BotRix
Submit ticket	Enviar solicitud	提交申请	Antrag senden	Отправить заявку
Request a conversion →	Solicitar conversión →	申请兑换 →	Umwandlung beantragen →	Запросить обмен →
Your Z history	Tu historial de Zs	你的 Z 记录	Dein Z-Verlauf	История Z
Your rewards	Tus recompensas	你的奖励	Deine Belohnungen	Твои награды
You haven’t redeemed a reward yet.	Aún no has canjeado ninguna recompensa.	你尚未兑换奖励。	Du hast noch keine Belohnung eingelöst.	Ты ещё не обменивал награды.
Your first Z is waiting in chat.	Tu primer Z te espera en el chat.	你的第一个 Z 在聊天中等你。	Dein erster Z wartet im Chat.	Твой первый Z ждёт в чате.
Connect the Kick account you use in chat to see your Zs.	Conecta tu cuenta de Kick del chat para ver tus Zs.	连接你用于聊天的 Kick 账户以查看 Zs。	Verbinde dein Kick-Konto aus dem Chat, um deine Zs zu sehen.	Подключи аккаунт Kick из чата, чтобы увидеть свои Zs.
Connect with Kick	Conectar con Kick	连接 Kick	Mit Kick verbinden	Подключить Kick
Opening the Market…	Abriendo el Mercado…	正在打开市场…	Markt wird geöffnet…	Открываем Маркет…
Retry	Reintentar	重试	Erneut versuchen	Повторить
Retry Arcade	Reintentar Arcade	重试游戏厅	Arcade erneut laden	Перезагрузить Аркаду
Jump into chat ↗	Entrar al chat ↗	进入聊天 ↗	Zum Chat ↗	Перейти в чат ↗
Last winner	Último ganador	上次获胜者	Letzter Gewinner	Последний победитель
ϟ LIVE TRIVIA	ϟ TRIVIA EN VIVO	ϟ 直播答题	ϟ LIVE-QUIZ	ϟ ВИКТОРИНА В ЭФИРЕ
New here? How It Works →	¿Eres nuevo? Cómo funciona →	新来的？查看玩法 →	Neu hier? So funktioniert’s →	Впервые здесь? Как это работает →
The shelf is getting ready.	Estamos preparando las recompensas.	奖励正在准备中。	Die Belohnungen werden vorbereitet.	Награды готовятся.
Zeek will add rewards here. Your Zs stay in your Market until you choose to use them.	Zeek añadirá recompensas aquí. Tus Zs se guardan hasta que decidas usarlos.	Zeek 会在这里添加奖励。你的 Zs 会保留到你选择使用它们。	Zeek fügt hier Belohnungen hinzu. Deine Zs bleiben erhalten, bis du sie nutzt.	Zeek добавит сюда награды. Твои Zs сохранятся, пока ты не решишь их использовать.
A little luck. A lot of community.	Un poco de suerte. Mucha comunidad.	一点运气，满满社区乐趣。	Ein bisschen Glück. Viel Gemeinschaft.	Немного удачи. Много общения.
COMMUNITY GIVEAWAY	SORTEO DE LA COMUNIDAD	社区抽奖	COMMUNITY-VERLOSUNG	РОЗЫГРЫШ СООБЩЕСТВА
One entry per Kick account.	Una participación por cuenta de Kick.	每个 Kick 账户限参加一次。	Eine Teilnahme pro Kick-Konto.	Одна заявка на аккаунт Kick.
Nothing open just yet.	Todavía no hay sorteos abiertos.	目前暂无开放的活动。	Noch nichts geöffnet.	Пока ничего не открыто.
Watch the stream for the next community giveaway.	Mira el stream para el próximo sorteo.	关注直播，等待下一次社区抽奖。	Schau im Stream nach der nächsten Verlosung.	Следи за стримом, чтобы не пропустить розыгрыш.
Game	Juego	游戏	Spiel	Игра
Wager	Apuesta	下注	Einsatz	Ставка
Result	Resultado	结果	Ergebnis	Результат
Date	Fecha	日期	Datum	Дата
Game rules	Reglas del juego	游戏规则	Spielregeln	Правила игры
Multipliers & odds	Multiplicadores y probabilidades	倍率与概率	Multiplikatoren & Chancen	Множители и шансы
YOUR RECENT GAMES	TUS ÚLTIMAS PARTIDAS	你的最近游戏	DEINE LETZTEN SPIELE	ТВОИ ПОСЛЕДНИЕ ИГРЫ
Your game history starts with your first play.	Tu historial empieza con tu primera partida.	开始第一局游戏即可记录历史。	Dein Verlauf beginnt mit deinem ersten Spiel.	История начнётся с первой игры.
OPEN PLAYER CHALLENGES	DESAFÍOS ABIERTOS	公开玩家挑战	OFFENE SPIELERDUELLE	ОТКРЫТЫЕ ДУЭЛИ
Post a challenge. Another player can accept while you’re offline.	Publica un desafío. Otro jugador puede aceptarlo aunque estés desconectado.	发起挑战，即使你离线，其他玩家也能接受。	Erstelle ein Duell. Andere können es auch annehmen, wenn du offline bist.	Создай дуэль. Другой игрок сможет принять её, даже когда ты не в сети.
THE FLOOR IS YOURS.	EL TURNO ES TUYO.	舞台属于你。	DIE BÜHNE GEHÖRT DIR.	ТВОЙ ВЫХОД.
CHOOSE YOUR MOVE	ELIGE TU JUGADA	选择你的出招	WÄHLE DEINEN ZUG	ВЫБЕРИ ХОД
Both choices stay hidden until the challenge is accepted.	Ambas elecciones se ocultan hasta que se acepta el desafío.	双方选择在挑战被接受前保持隐藏。	Beide Entscheidungen bleiben bis zur Annahme verborgen.	Оба выбора скрыты до принятия дуэли.
Choose privately. Both choices reveal after your wager is locked.	Elige en secreto. Ambas elecciones se revelan al bloquear la apuesta.	秘密选择。下注锁定后双方选择同时揭晓。	Wähle verdeckt. Nach dem Sperren des Einsatzes werden beide aufgedeckt.	Сделай тайный выбор. Оба выбора откроются после фиксации ставки.
Choose high or low for your die. Ties are rerolled.	Elige alto o bajo para tu dado. En empate se vuelve a tirar.	选择骰子点数高或低。平局时重新掷骰。	Wähle hoch oder niedrig. Bei Gleichstand wird erneut gewürfelt.	Выбери большее или меньшее число. При ничьей кубики бросаются снова.
50/50 odds · Winner takes the full pot.	Probabilidad 50/50 · El ganador se lleva el bote.	胜率各 50% · 获胜者赢得全部奖池。	50/50-Chance · Gewinner erhält den ganzen Topf.	Шансы 50/50 · Победитель забирает весь банк.
Ace is low. King is high. Equal cards lose.	As es la más baja. Rey la más alta. Cartas iguales pierden.	A 最小，K 最大。相同点数算输。	Ass ist niedrig, König hoch. Gleiche Karten verlieren.	Туз — младший, король — старший. Равные карты проигрывают.
Your game is saved if you leave. Return here to continue or collect.	La partida se guarda al salir. Vuelve para seguir o retirar.	离开后游戏会保存。返回可继续或收取收益。	Dein Spiel wird gespeichert. Kehre zurück, um weiterzuspielen oder zu kassieren.	Игра сохраняется при выходе. Вернись, чтобы продолжить или забрать выигрыш.
Go back	Volver	返回	Zurück	Назад
Retry same request	Reintentar la misma solicitud	重试同一请求	Dieselbe Anfrage wiederholen	Повторить тот же запрос
Mines · 1–20	Minas · 1–20	地雷 · 1–20	Minen · 1–20	Мины · 1–20
IN PROGRESS	EN CURSO	进行中	LÄUFT	В ПРОЦЕССЕ
Next hit:	Siguiente carta:	下一张牌：	Nächste Karte:	Следующая карта:
Hit +	Pedir +	要牌 +	Karte +	Ещё +
Stand →	Plantarse →	停牌 →	Halten →	Хватит →
THE MOMENTS THAT MADE THE STREAM	LOS MOMENTOS DEL STREAM	直播精彩瞬间	DIE HIGHLIGHTS DES STREAMS	ЛУЧШИЕ МОМЕНТЫ СТРИМА
SMALL CLIPS.	CLIPS CORTOS.	短视频。	KURZE CLIPS.	КОРОТКИЕ КЛИПЫ.
BIG CHAOS.	GRAN CAOS.	大欢乐。	GROSSES CHAOS.	БОЛЬШОЙ ХАОС.
The laughs. The travels. The moments you had to see.	Las risas. Los viajes. Los momentos imperdibles.	欢笑、旅行，以及不可错过的瞬间。	Das Lachen. Die Reisen. Die unvergesslichen Momente.	Смех, путешествия и моменты, которые стоит увидеть.
Loading moments…	Cargando momentos…	正在加载精彩瞬间…	Momente werden geladen…	Загрузка моментов…
More moments ↓	Más momentos ↓	更多精彩 ↓	Mehr Momente ↓	Ещё моменты ↓
WATCH THE MOMENT	VER EL MOMENTO	观看精彩瞬间	MOMENT ANSEHEN	СМОТРЕТЬ МОМЕНТ
Close	Cerrar	关闭	Schließen	Закрыть
Destination details ↗	Detalles del destino ↗	目的地详情 ↗	Details zum Reiseziel ↗	О месте ↗
Next on the map	Lo próximo en el mapa	下一站	Als Nächstes auf der Karte	Дальше на карте
No results found.	No se encontraron resultados.	未找到结果。	Keine Ergebnisse gefunden.	Ничего не найдено.
No stops added here yet.	Todavía no hay paradas aquí.	这里尚未添加停靠点。	Hier gibt es noch keine Stationen.	Здесь пока нет остановок.
Travels	Viajes	旅行	Reisen	Путешествия
on stream.	 en vivo.	直播中。	im Stream.	на стриме.
UPCOMING	PRÓXIMAMENTE	即将前往	DEMNÄCHST	СКОРО
Hover / Click	Pasa el cursor / Haz clic	悬停 / 点击	Bewegen / Klicken	Наведи / Нажми
for info	para información	查看信息	für Infos	для информации
Join Server	Entrar al servidor	加入服务器	Server beitreten	Присоединиться
Choose your edition	Elige tu edición	选择版本	Wähle deine Edition	Выбери издание
Which edition are you playing?	¿En qué edición juegas?	你使用哪个版本？	Welche Edition spielst du?	На каком издании ты играешь?
Before you join:	Antes de entrar:	加入前：	Bevor du beitrittst:	Перед входом:
join Discord and send your Minecraft username in	únete a Discord y envía tu nombre de Minecraft en	加入 Discord 并在以下频道发送 Minecraft 用户名：	tritt Discord bei und sende deinen Minecraft-Namen in	вступи в Discord и отправь имя Minecraft в
First, join Discord and send your Minecraft username in	Primero, únete a Discord y envía tu nombre de Minecraft en	首先加入 Discord，并在以下频道发送 Minecraft 用户名：	Tritt zuerst Discord bei und sende deinen Minecraft-Namen in	Сначала вступи в Discord и отправь имя Minecraft в
Send your Minecraft username in	Envía tu nombre de Minecraft en	在以下频道发送 Minecraft 用户名：	Sende deinen Minecraft-Namen in	Отправь имя Minecraft в
. Wait for access to be granted.	. Espera a que se te conceda acceso.	。等待访问权限获批。	. Warte auf die Freischaltung.	. Дождись предоставления доступа.
to get access.	para obtener acceso.	以获取访问权限。	um Zugang zu erhalten.	для получения доступа.
Join Discord ↗	Unirse a Discord ↗	加入 Discord ↗	Discord beitreten ↗	Вступить в Discord ↗
Copy Port	Copiar puerto	复制端口	Port kopieren	Копировать порт
Version	Versión	版本	Version	Версия
Port	Puerto	端口	Port	Порт
Platforms	Plataformas	平台	Plattformen	Платформы
Access	Acceso	访问权限	Zugang	Доступ
Via Discord	A través de Discord	通过 Discord	Über Discord	Через Discord
A world for the community.	Un mundo para la comunidad.	属于社区的世界。	Eine Welt für die Community.	Мир для сообщества.
Build something ridiculous. Explore together. Make this world ours.	Construye algo increíble. Explora con todos. Hagamos nuestro este mundo.	打造奇妙建筑，一起探索，创造属于我们的世界。	Baue etwas Verrücktes. Erkunde gemeinsam. Machen wir diese Welt zu unserer.	Строй невероятное, исследуй вместе с нами. Сделаем этот мир нашим.
Your next spawn point.	Tu próximo punto de aparición.	你的下一个出生点。	Dein nächster Spawnpunkt.	Твоя следующая точка появления.
